Name,Native,Status,"Population
Census
2002-10-09","Population
Census
2010-10-14","Population
Estimate
2015-01-01"
Altaj [Altai Republic],Республика Алтай,Republic,202947,206168,213703
Čemal'skij Rajon [Chemalsky Raion],Чемальский район,District,9023,9441,10027
Čojskij Rajon [Choysky Raion],Чойский район,District,8986,8348,8525
Gorno-Altajsk [Gorno-Altaysk],г. Горно-Алтайск,City,53538,56933,62309
Koš-Agačskij Rajon [Kosh-Agachsky Raion],Кош-Агачский район,District,17353,18263,18765
Majminskij Rajon [Mayminsky Raion],Майминский район,District,26306,28642,31113
Ongudajskij Rajon [Ongudaysky Raion],Онгудайский район,District,15642,15046,14442
Šebalinskij Rajon [Shebalinsky Raion],Шебалинский район,District,14387,13596,13620
Turočakskij Rajon [Turochaksky Raion],Турочакский район,District,13168,12484,12366
Ulaganskij Rajon [Ulagansky Raion],Улаганский район,District,11581,11388,11361
Ust'-Kanskij Rajon [Ust-Kansky Raion],Усть-Канский район,District,15482,15007,14590
Ust'-Koksinskij Rajon [Ust-Koksinsky Raion],Усть-Коксинский район,District,17481,17020,16585
Altajskij Kraj [Altai],Алтайский край,Territory (Kraj),2607426,2419755,2384812
Alejsk [Aleysk],г. Алейск,City,28551,29510,28372
Alejskij Rajon [Aleysky Raion],Алейский район,District,20474,16800,14961
Altajskij Rajon [Altaysky Raion],Алтайский район,District,26984,25645,26171
Bajevskij Rajon [Bayevsky Raion],Баевский район,District,13601,10979,9698
Barnaul,г. Барнаул,City with Environs,667646,670332,699577
Belokuricha [Belokurikha],г. Белокуриха,City,14533,14661,14877
Bijsk [Biysk],г. Бийск,City with Environs,232932,219328,213846
Bijskij Rajon [Biysky Raion],Бийский район,District,35740,34067,32764
Blagoveščenskij Rajon [Blagoveshchensky Raion],Благовещенский район,District,34878,30783,29128
Burlinskij Rajon [Burlinsky Raion],Бурлинский район,District,15005,12042,10783
Bystroistokskij Rajon [Bystroistoksky Raion],Быстроистокский район,District,12484,10150,9378
Čaryšskij Rajon [Charyshsky Raion],Чарышский район,District,14898,12337,11543
Celinnyj Rajon [Tselinny Raion],Целинный район,District,19888,16403,15674
Chabarskij Rajon [Khabarsky Raion],Хабарский район,District,19913,16431,15129
Jarovoje [Yarovoye],г. Яровое,City,21363,18604,18175
Jegorjevskij Rajon [Yegoryevsky Raion],Егорьевский район,District,16024,14170,13497
Jel'covskij Rajon [Yeltsovsky Raion],Ельцовский район,District,7923,6339,6101
Kalmanskij Rajon [Kalmansky Raion],Калманский район,District,14871,14331,13635
Kamen'-na-Obi [Kamen-na-Obi],г. Камень-на-Оби,City with Environs,45250,44648,42648
Kamenskij Rajon [Kamensky Raion],Каменский район,District,16600,12025,10730
Ključevskij Rajon [Klyuchevsky Raion],Ключевский район,District,20113,18267,17214
Kosichinskij Rajon [Kosikhinsky Raion],Косихинский район,District,20494,17927,16430
Krasnogorskij Rajon [Krasnogorsky Raion],Красногорский район,District,19036,16228,15578
Krasnoščëkovskij Rajon [Krasnoshchyokovsky Raion],Краснощёковский район,District,22483,19251,17518
Krutichinskij Rajon [Krutikhinsky Raion],Крутихинский район,District,13944,11301,10640
Kulundinskij Rajon [Kulundinsky Raion],Кулундинский район,District,25034,23000,22255
Kur'inskij Rajon [Kuryinsky Raion],Курьинский район,District,13492,11079,9910
Kytmanovskij Rajon [Kytmanovsky Raion],Кытмановский район,District,17257,13896,12727
Loktevskij Rajon [Loktevsky Raion],Локтевский район,District,33984,29658,26673
Mamontovskij Rajon [Mamontovsky Raion],Мамонтовский район,District,26102,23412,22465
Michajlovskij Rajon [Mikhaylovsky Raion],Михайловский район,District,23797,21211,20093
Nemeckij Nacional'nyj Rajon [Nemetsky National Raion],Немецкий национальный район,District,20598,17668,16656
Novičichinskij Rajon [Novichikhinsky Raion],Новичихинский район,District,11558,9938,9390
Novoaltajsk [Novoaltaysk],г. Новоалтайск,City,73544,70437,72308
Pankrušichinskij Rajon [Pankrushikhinsky Raion],Панкрушихинский район,District,16763,13364,12351
Pavlovskij Rajon [Pavlovsky Raion],Павловский район,District,41495,40235,40775
Pervomajskij Rajon [Pervomaysky Raion],Первомайский район,District,47467,50100,52723
Petropavlovskij Rajon [Petropavlovsky Raion],Петропавловский район,District,13911,12450,11841
Pospelichinskij Rajon [Pospelikhinsky Raion],Поспелихинский район,District,28065,24788,23580
Rebrichinskij Rajon [Rebrikhinsky Raion],Ребрихинский район,District,28238,24559,23281
Rodinskij Rajon [Rodinsky Raion],Родинский район,District,25482,20719,19135
Romanovskij Rajon [Romanovsky Raion],Романовский район,District,15412,13179,12183
Rubcovsk [Rubtsovsk],г. Рубцовск,City,163063,147002,146516
Rubcovskij Rajon [Rubtsovsky Raion],Рубцовский район,District,26407,24556,24434
Šelabolichinskij Rajon [Shelabolikhinsky Raion],Шелаболихинский район,District,15818,13678,12913
Sibirskij [Sibirsky],пгт. Сибирский,Urban Settlement,12046,11306,11807
Šipunovskij Rajon [Shipunovsky Raion],Шипуновский район,District,36299,33285,32526
Slavgorod,г. Славгород,City with Environs,47478,43350,40956
Smolenskij Rajon [Smolensky Raion],Смоленский район,District,26033,23955,22902
Solonešenskij Rajon [Soloneshensky Raion],Солонешенский район,District,12436,10720,9724
Soltonskij Rajon [Soltonsky Raion],Солтонский район,District,10954,8610,7809
Sovetskij Rajon [Sovetsky Raion],Советский район,District,18060,16467,15967
Sujetskij Rajon [Suyetsky Raion],Суетский район,District,6760,5120,4535
Tabunskij Rajon [Tabunsky Raion],Табунский район,District,11897,10057,9453
Tal'menskij Rajon [Talmensky Raion],Тальменский район,District,48287,46770,46172
Tjumencevskij Rajon [Tyumentsevsky Raion],Тюменцевский район,District,17985,15695,14513
Togul'skij Rajon [Togulsky Raion],Тогульский район,District,10450,8478,7960
Topčichinskij Rajon [Topchikhinsky Raion],Топчихинский район,District,27305,23350,22279
Tret'jakovskij Rajon [Tretyakovsky Raion],Третьяковский район,District,16787,14197,13071
Troickij Rajon [Troitsky Raion],Троицкий район,District,30538,24868,23199
Uglovskij Rajon [Uglovsky Raion],Угловский район,District,16073,13888,12948
Ust'-Kalmanskij Rajon [Ust-Kalmansky Raion],Усть-Калманский район,District,18470,15365,14369
Ust'-Pristanskij Rajon [Ust-Pristansky Raion],Усть-Пристанский район,District,16806,13409,11862
Volčichinskij Rajon [Volchikhinsky Raion],Волчихинский район,District,22345,19703,18042
Zalesovskij Rajon [Zalesovsky Raion],Залесовский район,District,17714,15074,14274
Zarinsk,г. Заринск,City,50368,48461,47274
Zarinskij Rajon [Zarinsky Raion],Заринский район,District,22026,20136,18554
Zav'jalovskij Rajon [Zavyalovsky Raion],Завьяловский район,District,22389,19305,18354
Zmeinogorskij Rajon [Zmeinogorsky Raion],Змеиногорский район,District,24234,21022,19876
Zonal'nyj Rajon [Zonalny Raion],Зональный район,District,20571,19676,20110
Burjatija [Buryatia],Республика Бурятия,Republic,981238,972021,978495
Barguzinskij Rajon [Barguzinsky Raion],Баргузинский район,District,26256,23598,22574
Bauntovskij Èvenkijskij Rajon [Bauntovsky Evenkiysky Raion],Баунтовский эвенкийский район,District,10907,9667,8808
Bičurskij Rajon [Bichursky Raion],Бичурский район,District,27015,25352,23748
Chorinskij Rajon [Khorinsky Raion],Хоринский район,District,19367,18467,17653
Džidinskij Rajon [Dzhidinsky Raion],Джидинский район,District,32449,29352,25610
Ivolginskij Rajon [Ivolginsky Raion],Иволгинский район,District,26801,37983,45846
Jeravninskij Rajon [Yeravninsky Raion],Еравнинский район,District,18783,18705,17626
Kabanskij Rajon [Kabansky Raion],Кабанский район,District,65624,59883,57887
Kižinginskij Rajon [Kizhinginsky Raion],Кижингинский район,District,18142,16509,15624
Kjachtinskij Rajon [Kyakhtinsky Raion],Кяхтинский район,District,40673,39785,38167
Kurumkanskij Rajon [Kurumkansky Raion],Курумканский район,District,16235,15007,14139
Muchoršibirskij Rajon [Mukhorshibirsky Raion],Мухоршибирский район,District,28634,24969,23850
Mujskij Rajon [Muysky Raion],Муйский район,District,16641,13142,10802
Okinskij Rajon [Okinsky Raion],Окинский район,District,4591,5353,5406
Pribajkal'skij Rajon [Pribaykalsky Raion],Прибайкальский район,District,28651,26856,26890
Selenginskij Rajon [Selenginsky Raion],Селенгинский район,District,50632,46427,43372
Severobajkal'sk [Severobaykalsk],г. Северобайкальск,City,25434,24929,24101
Severo-Bajkal'skij Rajon [Severo-Baykalsky Raion],Северо-Байкальский район,District,16446,14035,12991
Tarbagatajskij Rajon [Tarbagataysky Raion],Тарбагатайский район,District,16316,16476,18401
Tunkinskij Rajon [Tunkinsky Raion],Тункинский район,District,24173,22672,21450
Ulan-Udè,г. Улан-Удэ,City,386880,404426,426650
