Name,Native,Status,"Population
Census
2002-10-09","Population
Census
2010-10-14","Population
Estimate
2015-01-01"
Galičskij Rajon [Galichsky Raion],Галичский район,District,11503,8738,7849
Kadyjskij Rajon [Kadyysky Raion],Кадыйский район,District,10341,8374,7571
Kologrivskij Rajon [Kologrivsky Raion],Кологривский район,District,8566,6474,5676
Kostroma,г. Кострома,City,278750,268742,276090
Kostromskoj Rajon [Kostromskoy Raion],Костромской район,District,43904,44524,47290
Krasnosel'skij Rajon [Krasnoselsky Raion],Красносельский район,District,19580,17845,18216
Makarjevskij Rajon [Makaryevsky Raion],Макарьевский район,District,19523,15968,14130
Manturovo,г. Мантурово,City,19457,17479,16077
Manturovskij Rajon [Manturovsky Raion],Мантуровский район,District,6796,4978,4303
Meževskoj Rajon [Mezhevskoy Raion],Межевской район,District,5851,4461,3889
Nejskij Rajon [Neysky Raion],Нейский район,District,17524,14152,12904
Nerechtskij Rajon [Nerekhtsky Raion],Нерехтский район,District,39449,34244,33175
Oktjabr'skij Rajon [Oktyabrsky Raion],Октябрьский район,District,6289,4946,4346
Ostrovskij Rajon [Ostrovsky Raion],Островский район,District,14758,12787,11650
Parfenjevskij Rajon [Parfenyevsky Raion],Парфеньевский район,District,7857,6391,5913
Pavinskij Rajon [Pavinsky Raion],Павинский район,District,6217,5102,4364
Ponazyrevskij Rajon [Ponazyrevsky Raion],Поназыревский район,District,10496,8456,7458
Pyščugskij Rajon [Pyshchugsky Raion],Пыщугский район,District,6176,5201,4673
Šar'inskij Rajon [Sharyinsky Raion],Шарьинский район,District,12851,10390,9354
Šar'ja [Sharya],г. Шарья,City with Environs,39365,36659,36737
Soligaličskij Rajon [Soligalichsky Raion],Солигаличский район,District,12304,10265,9290
Sudislavskij Rajon [Sudislavsky Raion],Судиславский район,District,15184,13077,12461
Susaninskij Rajon [Susaninsky Raion],Сусанинский район,District,9184,7587,7123
Vochomskij Rajon [Vokhomsky Raion],Вохомский район,District,13444,10152,8572
Volgorečensk [Volgorechensk],г. Волгореченск,City,18164,17104,16809
Kursk,Курская область,Province (Oblast),1235091,1127081,1117378
Belovskij Rajon [Belovsky Raion],Беловский район,District,22182,17933,15836
Bol'šesoldatskij Rajon [Bolshesoldatsky Raion],Большесолдатский район,District,14636,12678,11517
Čeremisinovskij Rajon [Cheremisinovsky Raion],Черемисиновский район,District,12431,10347,9363
Chomutovskij Rajon [Khomutovsky Raion],Хомутовский район,District,16432,11429,9632
Dmitrijevskij Rajon [Dmitriyevsky Raion],Дмитриевский район,District,22420,18088,15584
Fatežskij Rajon [Fatezhsky Raion],Фатежский район,District,23194,18885,18669
Gluškovskij Rajon [Glushkovsky Raion],Глушковский район,District,28147,22661,20280
Goršečenskij Rajon [Gorshechensky Raion],Горшеченский район,District,22835,18591,16785
Kastorenskij Rajon [Kastorensky Raion],Касторенский район,District,24237,18195,15826
Konyšëvskij Rajon [Konyshyovsky Raion],Конышёвский район,District,15155,10594,9034
Korenevskij Rajon [Korenevsky Raion],Кореневский район,District,21474,18294,16547
Kurčatov [Kurchatov],г. Курчатов,City,45556,42706,39395
Kurčatovskij Rajon [Kurchatovsky Raion],Курчатовский район,District,19714,18021,18647
Kursk,г. Курск,City,412442,415159,435117
Kurskij Rajon [Kursky Raion],Курский район,District,56494,54778,57275
L'gov [Lgov],г. Льгов,City,23783,21453,19905
L'govskij Rajon [Lgovsky Raion],Льговский район,District,19313,14451,12820
Manturovskij Rajon [Manturovsky Raion],Мантуровский район,District,16758,14349,12767
Medvenskij Rajon [Medvensky Raion],Медвенский район,District,19220,16558,16318
Obojanskij Rajon [Oboyansky Raion],Обоянский район,District,35815,31042,29708
Oktjabr'skij Rajon [Oktyabrsky Raion],Октябрьский район,District,23877,22569,24532
Ponyrovskij Rajon [Ponyrovsky Raion],Поныровский район,District,13553,11778,11227
Pristenskij Rajon [Pristensky Raion],Пристенский район,District,21249,16893,15678
Ryl'skij Rajon [Rylsky Raion],Рыльский район,District,40714,33158,31975
Ščigrovskij Rajon [Shchigrovsky Raion],Щигровский район,District,15099,11994,10590
Ščigry [Shchigry],г. Щигры,City,19582,17040,15963
Solncevskij Rajon [Solntsevsky Raion],Солнцевский район,District,18492,15382,14058
Sovetskij Rajon [Sovetsky Raion],Советский район,District,23673,19080,17592
Sudžanskij Rajon [Sudzhansky Raion],Суджанский район,District,31466,26964,26370
Timskij Rajon [Timsky Raion],Тимский район,District,14628,11759,11084
Železnogorsk [Zheleznogorsk],г. Железногорск,City,95528,95049,98756
Železnogorskij Rajon [Zheleznogorsky Raion],Железногорский район,District,18192,16289,16274
Zolotuchinskij Rajon [Zolotukhinsky Raion],Золотухинский район,District,26800,22914,22254
Lipeck [Lipetsk],Липецкая область,Province (Oblast),1213499,1173513,1157865
Čaplyginskij Rajon [Chaplyginsky Raion],Чаплыгинский район,District,36069,32704,30910
Chlevenskij Rajon [Khlevensky Raion],Хлевенский район,District,22251,20208,19322
Dankovskij Rajon [Dankovsky Raion],Данковский район,District,40766,35468,32176
Dobrinskij Rajon [Dobrinsky Raion],Добринский район,District,40809,37567,35230
Dobrovskij Rajon [Dobrovsky Raion],Добровский район,District,26821,24228,23494
Dolgorukovskij Rajon [Dolgorukovsky Raion],Долгоруковский район,District,21127,18623,17343
Grjazinskij Rajon [Gryazinsky Raion],Грязинский район,District,73622,75159,78401
Izmalkovskij Rajon [Izmalkovsky Raion],Измалковский район,District,18813,17281,16455
Jelec [Yelets],г. Елец,City,116726,108404,105989
Jeleckij Rajon [Yeletsky Raion],Елецкий район,District,29627,30130,29252
Krasninskij Rajon [Krasninsky Raion],Краснинский район,District,15728,13498,12849
Lebedjanskij Rajon [Lebedyansky Raion],Лебедянский район,District,46644,43178,40824
Lev-Tolstovskij Rajon [Lev-Tolstovsky Raion],Лев-Толстовский район,District,17862,17141,16772
Lipeck [Lipetsk],г. Липецк,City,506114,508887,510152
Lipeckij Rajon [Lipetsky Raion],Липецкий район,District,48383,49258,50096
Stanovljanskij Rajon [Stanovlyansky Raion],Становлянский район,District,20424,18746,18011
Terbunskij Rajon [Terbunsky Raion],Тербунский район,District,24068,22536,22190
Usmanskij Rajon [Usmansky Raion],Усманский район,District,54027,50906,50358
Volovskij Rajon [Volovsky Raion],Воловский район,District,16374,14632,12987
Zadonskij Rajon [Zadonsky Raion],Задонский район,District,37244,34959,35054
Moskva [Moscow],Московская область,Province (Oblast),6618538,6860074,7231068
Balašicha [Balashikha],г. Балашиха,City with Environs,187988,225381,271961
Bronnicy [Bronnitsy],г. Бронницы,City,18232,21102,21925
Čechovskij Rajon [Chekhovsky Raion],Чеховский район,District,109668,115301,126238
Černogolovka [Chernogolovka],г. Черноголовка,City with Environs,...,22450,23586
Chimki [Khimki],г. Химки,City,177445,207425,232066
Dmitrovskij Rajon [Dmitrovsky Raion],Дмитровский район,District,149793,151448,160570
Dolgoprudnyj [Dolgoprudny],г. Долгопрудный,City,75256,90956,98788
Domodedovo,г. Домодедово,City with Environs,124572,135405,153598
Dubna,г. Дубна,City,60951,70663,75176
Dzeržinskij [Dzerzhinsky],г. Дзержинский,City,41488,47163,51306
Èlektrogorsk,г. Электрогорск,City,20353,22480,23028
Èlektrostal' [Elektrostal],г. Электросталь,City,146294,155196,158222
Frjazino [Fryazino],г. Фрязино,City with Environs,52436,55381,58946
Istrinskij Rajon [Istrinsky Raion],Истринский район,District,115753,119641,120703
Ivantejevka [Ivanteyevka],г. Ивантеевка,City,51454,58626,69265
Jegorjevskij Rajon [Yegoryevsky Raion],Егорьевский район,District,98063,102958,103902
Kaširskij Rajon [Kashirsky Raion],Каширский район,District,70774,70269,67766
Klimovsk,г. Климовск,City,55644,56186,56239
Klinskij Rajon [Klinsky Raion],Клинский район,District,127938,127779,128178
Kolomenskij Rajon [Kolomensky Raion],Коломенский район,District,40780,44856,45227
Kolomna,г. Коломна,City,150129,144589,144253
Korolëv [Korolyov],г. Королёв,City,201395,216639,220947
Kotel'niki [Kotelniki],г. Котельники,City,17747,32338,41308
Krasnoarmejsk [Krasnoarmeysk],г. Красноармейск,City,26051,26294,26594
Krasnogorskij Rajon [Krasnogorsky Raion],Красногорский район,District,149679,179872,207836
Krasnoznamensk,г. Краснознаменск,City,28044,36103,39273
Leninskij Rajon [Leninsky Raion],Ленинский район,District,...,94242,104036
Ljubereckij Rajon [Lyuberetsky Raion],Люберецкий район,District,...,265113,291510
Lobnja [Lobnya],г. Лобня,City,64679,74252,84225
Losino-Petrovskij [Losino-Petrovsky],г. Лосино-Петровский,City,22324,22550,24726
Lotošinskij Rajon [Lotoshinsky Raion],Лотошинский район,District,18337,17859,17182
Luchovickij Rajon [Lukhovitsky Raion],Луховицкий район,District,63235,58802,58747
Lytkarino,г. Лыткарино,City,50798,55237,56360
Molodëžnyj [Molodyozhny],пгт. Молодёжный,Urban Settlement,2599,2920,2824
Možajskij Rajon [Mozhaysky Raion],Можайский район,District,70303,72745,72248
Mytiščinskij Rajon [Mytishchinsky Raion],Мытищинский район,District,186066,203393,221777
Naro-Fominskij Rajon [Naro-Fominsky Raion],Наро-Фоминский район,District,...,150822,153894
Noginskij Rajon [Noginsky Raion],Ногинский район,District,...,203609,210541
Odincovskij Rajon [Odintsovsky Raion],Одинцовский район,District,286033,316696,321673
Orechovo-Zujevo [Orekhovo-Zuyevo],г. Орехово-Зуево,City,122248,120670,120184
Orechovo-Zujevskij Rajon [Orekhovo-Zuyevsky Raion],Орехово-Зуевский район,District,119803,121916,119043
Ozërskij Rajon [Ozyorsky Raion],Озёрский район,District,35623,35752,36177
Pavlovo-Posadskij Rajon [Pavlovo-Posadsky Raion],Павлово-Посадский район,District,...,83520,86046
Podol'sk [Podolsk],г. Подольск,City,180963,187961,223896
Podol'skij Rajon [Podolsky Raion],Подольский район,District,...,36635,37416
Protvino,г. Протвино,City,36175,37308,37261
Puščino [Pushchino],г. Пущино,City,19964,20332,21226
Puškinskij Rajon [Pushkinsky Raion],Пушкинский район,District,163439,177510,182881
Ramenskij Rajon [Ramensky Raion],Раменский район,District,217939,256375,278632
Reutov,г. Реутов,City,76805,87314,94180
Rošal' [Roshal],г. Рошаль,City,22407,21272,21167
Ruzskij Rajon [Ruzsky Raion],Рузский район,District,63685,61673,62873
Šachovskoj Rajon [Shakhovskoy Raion],Шаховской район,District,23061,25372,25693
Šaturskij Rajon [Shatursky Raion],Шатурский район,District,70967,72087,72108
Ščëlkovskij Rajon [Shchyolkovsky Raion],Щёлковский район,District,...,193629,198593
Serebrjano-Prudskij Rajon [Serebryano-Prudsky Raion],Серебряно-Прудский район,District,24689,25843,25455
Sergijevo-Posadskij Rajon [Sergiyevo-Posadsky Raion],Сергиево-Посадский район,District,230481,225693,220842
Serpuchov [Serpukhov],г. Серпухов,City,131097,127041,126728
Serpuchovskij Rajon [Serpukhovsky Raion],Серпуховский район,District,34565,35173,35646
Solnečnogorskij Rajon [Solnechnogorsky Raion],Солнечногорский район,District,124369,128580,136728
Stupinskij Rajon [Stupinsky Raion],Ступинский район,District,116007,119282,120121
Taldomskij Rajon [Taldomsky Raion],Талдомский район,District,46302,48553,48358
Vlasicha [Vlasikha],пгт. Власиха,Urban Settlement,...,26359,25699
Volokolamskij Rajon [Volokolamsky Raion],Волоколамский район,District,49032,53244,44814
Voschod [Voskhod],пгт. Восход,Urban Settlement,1785,2007,1955
Voskresenskij Rajon [Voskresensky Raion],Воскресенский район,District,152761,153600,155109
Zarajskij Rajon [Zaraysky Raion],Зарайский район,District,41974,41912,40672
Železnodorožnyj [Zheleznodorozhny],г. Железнодорожный,City,110622,131257,151985
Žukovskij [Zhukovsky],г. Жуковский,City,101328,104736,107815
Zvenigorod,г. Звенигород,City,14503,16395,19384
Zvëzdnyj Gorodok [Zvyozdny gorodok],пгт. Звёздный городок,Urban Settlement,...,6332,5737
Orël [Oryol],Орловская область,Province (Oblast),860262,786935,765231
Bolchovskij Rajon [Bolkhovsky Raion],Болховский район,District,20417,18041,17322
Chotyneckij Rajon [Khotynetsky Raion],Хотынецкий район,District,12098,10183,9352
Dmitrovskij Rajon [Dmitrovsky Raion],Дмитровский район,District,15841,12196,10980
Dolžanskij Rajon [Dolzhansky Raion],Должанский район,District,14187,11984,10730
Glazunovskij Rajon [Glazunovsky Raion],Глазуновский район,District,14976,13162,12327
Kolpnjanskij Rajon [Kolpnyansky Raion],Колпнянский район,District,18970,15453,13399
Korsakovskij Rajon [Korsakovsky Raion],Корсаковский район,District,5586,4798,4377
Krasnozorenskij Rajon [Krasnozorensky Raion],Краснозоренский район,District,8610,6504,5767
Kromskoj Rajon [Kromskoy Raion],Кромской район,District,24400,21346,20719
Livenskij Rajon [Livensky Raion],Ливенский район,District,34200,32791,30830
Livny,г. Ливны,City,52841,50343,48327
Maloarchangel'skij Rajon [Maloarkhangelsky Raion],Малоархангельский район,District,13798,11520,10341
Mcensk [Mtsensk],г. Мценск,City,47807,43222,39181
Mcenskij Rajon [Mtsensky Raion],Мценский район,District,20757,19233,18693
Novodereven'kovskij Rajon [Novoderevenkovsky Raion],Новодеревеньковский район,District,13486,10704,9911
Novosil'skij Rajon [Novosilsky Raion],Новосильский район,District,10591,8561,7843
Orël [Oryol],г. Орёл,City,333310,317747,319550
Orlovskij Rajon [Orlovsky Raion],Орловский район,District,66167,67384,70544
Pokrovskij Rajon [Pokrovsky Raion],Покровский район,District,18027,14782,13604
Šablykinskij Rajon [Shablykinsky Raion],Шаблыкинский район,District,9588,8045,7033
Soskovskij Rajon [Soskovsky Raion],Сосковский район,District,8214,5982,5476
Sverdlovskij Rajon [Sverdlovsky Raion],Свердловский район,District,18070,16311,15555
Trosnjanskij Rajon [Trosnyansky Raion],Троснянский район,District,12453,10302,9359
Urickij Rajon [Uritsky Raion],Урицкий район,District,20224,18666,19052
Verchovskij Rajon [Verkhovsky Raion],Верховский район,District,21384,17283,16042
Zalegoščenskij Rajon [Zalegoshchensky Raion],Залегощенский район,District,17802,15376,14331
Znamenskij Rajon [Znamensky Raion],Знаменский район,District,6458,5016,4586
Rjazan' [Ryazan],Рязанская область,Province (Oblast),1227910,1154114,1135438
Aleksandro-Nevskij Rajon [Alexandro-Nevsky Raion],Александро-Невский район,District,13071,11818,11442
Čučkovskij Rajon [Chuchkovsky Raion],Чучковский район,District,11244,8700,7685
Jermišinskij Rajon [Yermishinsky Raion],Ермишинский район,District,10926,8879,7788
Kadomskij Rajon [Kadomsky Raion],Кадомский район,District,10708,8494,7736
Kasimov,г. Касимов,City,35816,33491,31494
Kasimovskij Rajon [Kasimovsky Raion],Касимовский район,District,35365,29602,27279
Klepikovskij Rajon [Klepikovsky Raion],Клепиковский район,District,29391,25476,24641
Korablinskij Rajon [Korablinsky Raion],Кораблинский район,District,26026,22941,22869
Michajlovskij Rajon [Mikhaylovsky Raion],Михайловский район,District,38377,35223,33557
Miloslavskij Rajon [Miloslavsky Raion],Милославский район,District,16564,13455,12763
Pitelinskij Rajon [Pitelinsky Raion],Пителинский район,District,7250,5893,5324
Pronskij Rajon [Pronsky Raion],Пронский район,District,34467,31393,30444
Putjatinskij Rajon [Putyatinsky Raion],Путятинский район,District,8745,7511,7242
Rjazan' [Ryazan],г. Рязань,City,524104,524927,532772
Rjazanskij Rajon [Ryazansky Raion],Рязанский район,District,56836,56869,57512
Rjažskij Rajon [Ryazhsky Raion],Ряжский район,District,31097,29026,29343
Rybnovskij Rajon [Rybnovsky Raion],Рыбновский район,District,37140,35585,36667
Šackij Rajon [Shatsky Raion],Шацкий район,District,30944,24414,22079
Sapožkovskij Rajon [Sapozhkovsky Raion],Сапожковский район,District,12542,10901,10432
Sarajevskij Rajon [Sarayevsky Raion],Сараевский район,District,22725,17810,16257
Sasovo,г. Сасово,City,30736,28118,26871
Sasovskij Rajon [Sasovsky Raion],Сасовский район,District,21012,18504,17295
Šilovskij Rajon [Shilovsky Raion],Шиловский район,District,44197,40334,39288
Skopin,г. Скопин,City with Environs,33175,31478,28478
Skopinskij Rajon [Skopinsky Raion],Скопинский район,District,31142,27080,26109
Spasskij Rajon [Spassky Raion],Спасский район,District,34024,30388,26989
Starožilovskij Rajon [Starozhilovsky Raion],Старожиловский район,District,17954,17136,17373
Ucholovskij Rajon [Ukholovsky Raion],Ухоловский район,District,11725,9532,9062
Zacharovskij Rajon [Zakharovsky Raion],Захаровский район,District,10607,9136,8647
Smolensk,Смоленская область,Province (Oblast),1049574,985537,964791
Chislavičskij Rajon [Khislavichsky Raion],Хиславичский район,District,12007,9070,8106
Cholm-Žirkovskij Rajon [Kholm-Zhirkovsky Raion],Холм-Жирковский район,District,12815,10717,9754
Demidovskij Rajon [Demidovsky Raion],Демидовский район,District,18167,14039,12310
Desnogorsk,г. Десногорск,City with Environs,32070,29716,28554
Dorogobužskij Rajon [Dorogobuzhsky Raion],Дорогобужский район,District,32672,29077,27376
Duchovščinskij Rajon [Dukhovshchinsky Raion],Духовщинский район,District,19182,16658,15484
Gagarinskij Rajon [Gagarinsky Raion],Гагаринский район,District,46401,48928,45940
Glinkovskij Rajon [Glinkovsky Raion],Глинковский район,District,6149,4948,4414
Jarcevskij Rajon [Yartsevsky Raion],Ярцевский район,District,62012,55803,54231
Jel'ninskij Rajon [Yelninsky Raion],Ельнинский район,District,17457,14948,13846
Jeršičskij Rajon [Yershichsky Raion],Ершичский район,District,8859,7102,6444
Kardymovskij Rajon [Kardymovsky Raion],Кардымовский район,District,12521,11852,12499
Krasninskij Rajon [Krasninsky Raion],Краснинский район,District,15537,12895,12264
Monastyrščinskij Rajon [Monastyrshchinsky Raion],Монастырщинский район,District,13876,10788,9472
Novoduginskij Rajon [Novoduginsky Raion],Новодугинский район,District,11860,10477,9603
Počinkovskij Rajon [Pochinkovsky Raion],Починковский район,District,37537,30959,29851
Roslavl'skij Rajon [Roslavlsky Raion],Рославльский район,District,81307,76100,71990
Rudnjanskij Rajon [Rudnyansky Raion],Руднянский район,District,28037,25244,23562
Safonovskij Rajon [Safonovsky Raion],Сафоновский район,District,65251,61572,58803
Smolensk,г. Смоленск,City,325137,326861,330049
Smolenskij Rajon [Smolensky Raion],Смоленский район,District,47281,44964,53889
Šumjačskij Rajon [Shumyachsky Raion],Шумячский район,District,14032,10713,9909
Syčëvskij Rajon [Sychyovsky Raion],Сычёвский район,District,15835,14158,13807
Tëmkinskij Rajon [Tyomkinsky Raion],Тёмкинский район,District,6916,6348,5971
Ugranskij Rajon [Ugransky Raion],Угранский район,District,11022,8916,8190
Veližskij Rajon [Velizhsky Raion],Велижский район,District,14329,12248,11114
Vjazemskij Rajon [Vyazemsky Raion],Вяземский район,District,81305,80436,77359
Tambov,Тамбовская область,Province (Oblast),1178443,1091994,1062421
Bondarskij Rajon [Bondarsky Raion],Бондарский район,District,15311,13191,11916
Gavrilovskij Rajon [Gavrilovsky Raion],Гавриловский район,District,14182,12032,10934
Inžavinskij Rajon [Inzhavinsky Raion],Инжавинский район,District,27843,23184,20981
Kirsanov,г. Кирсанов,City,18506,17224,17042
Kirsanovskij Rajon [Kirsanovsky Raion],Кирсановский район,District,23613,21756,20295
Kotovsk,г. Котовск,City,34054,31850,31136
Mičurinsk [Michurinsk],г. Мичуринск,City,96093,98758,95864
Mičurinskij Rajon [Michurinsky Raion],Мичуринский район,District,35196,34245,33841
Mordovskij Rajon [Mordovsky Raion],Мордовский район,District,23671,19375,17433
Moršansk [Morshansk],г. Моршанск,City,44486,41556,39583
Moršanskij Rajon [Morshansky Raion],Моршанский район,District,38228,34088,31294
Mučkapskij Rajon [Muchkapsky Raion],Мучкапский район,District,18257,15177,13868
Nikiforovskij Rajon [Nikiforovsky Raion],Никифоровский район,District,22970,20066,18430
Pervomajskij Rajon [Pervomaysky Raion],Первомайский район,District,31925,29277,27643
Petrovskij Rajon [Petrovsky Raion],Петровский район,District,23374,19074,17444
Pičajevskij Rajon [Pichayevsky Raion],Пичаевский район,District,16542,14027,13405
Rasskazovo,г. Рассказово,City,46516,45484,44760
Rasskazovskij Rajon [Rasskazovsky Raion],Рассказовский район,District,24984,22991,21347
Ržaksinskij Rajon [Rzhaksinsky Raion],Ржаксинский район,District,21981,18565,16693
Sampurskij Rajon [Sampursky Raion],Сампурский район,District,16487,14204,12852
Sosnovskij Rajon [Sosnovsky Raion],Сосновский район,District,39253,31641,29433
